"livetype_code","livetype_desc","body_weight","litter_size","lactation_length","proportion_growth","lw_gain","grazing_displacement","me_maintenance","me_grazing","me_pregnancy","me_lactation","me_lactmilk","me_growth","cp_maintenance","cp_grazing","cp_pregnancy","cp_lactation","cp_lactmilk","cp_growth","milk_production","live_weight_gain","birth_interval","protein_milkcontent","fat_content","energy_milkcontent","energy_meatcontent","protein_meatcontent","carcass_fraction","energy_eggcontent","n_content","water_requirement","meat_product","milk_product","oneoff_cost","operational_cost","oneoff_labour","operational_labour","meat_price","milk_price","ipcc_meth_ef_t1","ipcc_meth_ef_t2","ipcc_meth_man","ipcc_meth_exc"
11,"Buffalo - Calves",110,0,0,0,0,0,16.983004246799,0,0,0,0,50,0.11,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.58,0,0.029,50,"buffalo","buffalo milk",400,10,0,2,21,1.045,"Other young","Non-dairy","Other cattle","Other cattle"
12,"Sheep - Ewes",53,0,60,0,0,0,8.64290180159011,0,518.574108095407,1296.43527023852,5.5,0,0.106,0,8.374,12.72,0.09,0,0,0,1,3.2,5.8,970,2200,25,0.5,0,0.027,14,"mutton","sheep milk",460,210,0,15.2,25,0,"Goats","Sheep","Sheep","Sheep"
13,"Sheep - Breeding Rams",30,0,0,0,0,0,5.64018848443029,0,0,0,0,46,0.06,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,14,"mutton","sheep milk",0,0,0,0,25,0,"Goats","Sheep","Sheep","Sheep"
14,"Sheep - Fattening Rams",20,0,0,0,0,0,4.16126307961397,0,0,0,0,46,0.04,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,"mutton","sheep milk",0,0,0,0,25,0,"Goats","Sheep","Sheep","Sheep"
15,"Sheep - Lambs",15,0,0,0,0,0,3.35367613782046,0,0,0,0,46,0.03,0,0,0,0,0.45,0,0,0,3.2,5.8,970,2200,25,0.5,0,0.029,5,"mutton","sheep milk",180,150,0,3,25,0,"Goats","Sheep","Sheep","Sheep"
16,"Goats - Does",53,0,60,0,0,0,8.64290180159011,0,518.574108095407,1296.43527023852,5.5,0,0.106,0,8.374,12.72,0.09,0,0,0,1,3.2,5.8,970,2200,25,0.5,0,0.027,14,"goat","goat milk",460,210,0,15.2,25,0,"Goats","Goats","Sheep","Sheep"
17,"Goats - Breeding Bucks",30,0,0,0,0,0,5.64018848443029,0,0,0,0,46,0.06,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,14,"goat","goat milk",0,0,0,0,25,0,"Goats","Goats","Sheep","Sheep"
18,"Goats - Fattening Bucks",20,0,0,0,0,0,4.16126307961397,0,0,0,0,46,0.04,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,"goat","goat milk",0,0,0,0,25,0,"Goats","Goats","Sheep","Sheep"
19,"Goats - Kids",15,0,0,0,0,0,3.35367613782046,0,0,0,0,46,0.03,0,0,0,0,0.45,0,0,0,3.2,5.8,970,2200,25,0.5,0,0.029,5,"goat","goat milk",180,150,0,3,25,0,"Goats","Goats","Sheep","Sheep"
20,"Pigs - lactating/pregnant sows",200,10,21,60,0.2,0,23.4005019465579,0,170,656.7372,0,0,0.0297824570228919,0,0.33396,1.2348,0,0,0,0,0.5,0,0,0,2580,21,0,0,0.04,40,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
21,"Pigs - dry sows/boars",200,0,0,0,0,0,23.4005019465579,0,0,0,0,0,0.0297824570228919,0,0,0,0,0,0,0,0,0,0,0,2580,21,0,0,0.04,15,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
22,"Pigs - growers",80,0,0,0,0,0,11.769829367585,0,0,0,0,45,0.0149797828314718,0,0,0,0,0.05,0,0,0,0,0,0,2580,21,0.6,0,0.04,10,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
